Reference area,MEASURE,Domain,UNIT_MEASURE,Unit of measure,Measure,Abbreviations,Age,Sex,Education level,OBS_VALUE,TIME_PERIOD,
United States,10_2,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Feeling safe at night,,Total,Total,Total,73.3468759,2021,Feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,80.604126,2021,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.668640749,2021,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Negative affect balance,,Total,Total,Total,15.24157958,2021,Negative affect balance_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,1.270698529,2021,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,11.31716475,2021,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Secondary education,13.91852796,2021,Negative affect balance_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Young,Total,Total,12.30201572,2021,Negative affect balance_Age:Young_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Female,Total,64.20485973,2021,Feeling safe at night_Age:Total_Sex:Female_Education:Total
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,74738,2021,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Old,Total,Total,91.25460386,2021,Social support_Age:Old_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,14.092608,2021,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Old,Total,Total,11.9647935,2021,Negative affect balance_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,61.86462934,2021,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,52.077045,2021,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Middle-aged,Total,Total,78.16249132,2021,Feeling safe at night_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,3.71605416,2021,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,79.67174166,2021,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,22.69,2021,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,52400,2021,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Total,Tertiary education,1.058826923,2021,Long-term unemployment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,10_2_DEP,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Not feeling safe at night,,Total,Total,Total,26.28711877,2021,Not feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Young,Total,Total,68.126899,2021,Feeling safe at night_Age:Young_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Secondary education,89.96618986,2021,Social support_Age:Total_Sex:Total_Education:Secondary education
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,66.738869,2021,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Middle-aged,Total,Total,16.03616476,2021,Negative affect balance_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,10.28637654,2021,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,1.20144072,2021,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Tertiary education,95.31903863,2021,Social support_Age:Total_Sex:Total_Education:Tertiary education
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,73.68001238,2021,Employment rate_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Tertiary education,10.83170325,2021,Negative affect balance_Age:Total_Sex:Total_Education:Tertiary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Tertiary education,79.9924314,2021,Feeling safe at night_Age:Total_Sex:Total_Education:Tertiary education
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,82.7502618,2021,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,1.298311645,2021,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Male,Total,89.94534016,2021,Social support_Age:Total_Sex:Male_Education:Total
United States,7_1_DEP,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Lack of social support,,Total,Total,Total,7.995494543,2021,Lack of social support_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Male,Total,11.95899695,2021,Negative affect balance_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Middle-aged,Total,Total,88.82194757,2021,Social support_Age:Middle-aged_Sex:Total_Education:Total
United States,1_4,Income and wealth,PT_POP,Percentage of population,Household disposable income below the relative income poverty line,,Total,Total,Total,15.1,2021,Household disposable income below the relative income poverty line_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Primary education,22.47057855,2021,Negative affect balance_Age:Total_Sex:Total_Education:Primary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Total,Primary education,2.469437599,2021,Long-term unemployment rate_Age:Total_Sex:Total_Education:Primary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Total,Secondary education,1.602103949,2021,Long-term unemployment rate_Age:Total_Sex:Total_Education:Secondary education
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Female,Total,92.4326539,2021,Social support_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,67.8986643,2021,Employment rate_Age:Total_Sex:Female_Education:Total
United States,3_5,Housing,PT_HH,Percentage of households,Households with internet access at home,,Total,Total,Total,83.36,2021,Households with internet access at home_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Old,Total,Total,74.4807899,2021,Feeling safe at night_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,77.6042947,2021,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,4.797619048,2021,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Female,Total,14.63929862,2021,Negative affect balance_Age:Total_Sex:Female_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,1.252648062,2021,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Male,Total,84.73367691,2021,Feeling safe at night_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Social support,,Total,Total,Total,91.95908359,2021,Social support_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Young,Total,Total,94.40615773,2021,Social support_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,50.11539907,2021,Employment rate_Age:Young_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,14.004391,2021,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,8.243122768,2021,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Secondary education,72.07787037,2021,Feeling safe at night_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,1.191096293,2021,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
